,Zip Code,County,Assault Risk,Burglary Risk,Larceny Risk,Murder Risk,Motor Vehicle Theft Risk,Personal Crime Risk,Property Crime Risk,Rape Risk,Robbery Risk,Total Crime Risk,Median household income,Population Density,fips,Closest City,State,Zhvi,zrmpsqf,Zhvisf,Zhmpsqf,spf,Zriahsum,Zrisf
0,10025,New York County,109,54,58,184,75,153,73,79,203,95,81414,126959.3,36061,"New York city, NY",New York,1027300,5.39680057,,1282,,3561,3792
1,60657,Cook County,188,105,71,406,145,282,117,228,305,184,81689,29273.5,17031,"Chicago city, IL",Illinois,352300,1.88647343,1051600,480,,1898,3270
2,10023,New York County,140,47,41,137,100,230,77,90,453,127,129205,128961.3,36061,"New York city, NY",New York,1363000,,,1550,,3958,4094
3,77494,Fort Bend County,23,49,50,25,60,34,57,54,32,49,129979,2657.8,48157,"Houston city, TX",Texas,335200,0.85624155,335100,114,,2122,2136
4,60614,Cook County,208,93,87,354,184,311,132,320,367,204,93354,21208.1,17031,"Chicago city, IL",Illinois,431800,2.246283129,1327000,526,,2051,5093
5,79936,El Paso County,102,60,74,87,53,81,66,71,58,76,53577,4290.3,48141,"El Paso city, TX",Texas,128200,0.7775524,128200,90,,1011,1023
6,77449,Harris County,61,92,72,94,174,125,121,183,163,128,65504,3948.4,48201,"Houston city, TX",Texas,181700,0.845546787,181700,94,,1474,1476
7,77084,Harris County,48,45,39,90,70,80,55,91,91,70,64228,3392.3,48201,"Houston city, TX",Texas,175000,0.808565981,175200,91,,1469,1480
8,10002,New York County,163,79,94,146,95,210,103,82,367,131,39805,94519.7,36061,"New York city, NY",New York,948900,,,1373,,3819,4374
9,10467,Bronx County,199,89,90,166,100,210,108,107,302,134,38450,43494.2,36005,"New York city, NY",New York,423400,,445400,273,,1865,1879
10,60640,Cook County,136,76,64,325,81,220,80,168,249,138,49862,28515.5,17031,"Chicago city, IL",Illinois,237300,,750400,406,,1622,2258
11,11226,Kings County,44,28,28,163,42,105,39,57,135,60,45504,78585.6,36047,"New York city, NY",New York,827700,,1063300,580,,2233,2395
12,94109,San Francisco County,74,52,44,155,107,162,56,102,302,98,70009,50184.4,6075,"San Francisco city, CA",California,1263500,,4030200,1179,,4462,6012
13,10016,New York County,353,145,96,179,148,280,154,68,424,183,115370,104123.4,36061,"New York city, NY",New York,991500,5.160965795,,1276,,3783,4113
14,37013,Davidson County,111,100,158,289,127,216,133,141,162,159,47542,2151,47037,Nashville-Davidson metropolitan government (balanc,Tennessee,220700,0.920342929,228800,130,,1498,1543
15,78660,Travis County,62,82,81,44,23,65,64,123,15,68,75436,2018.8,48453,"Austin city, TX",Texas,249600,0.91753131,250100,128,,1643,1647
16,32162,Sumter County,234,203,132,17,30,89,122,26,24,102,57961,2602.2,12119,"Jacksonville city, FL",Florida,265900,,265900,175,,,
17,11375,Queens County,137,54,79,179,78,175,81,78,250,107,74002,35264.2,36081,"New York city, NY",New York,994600,,1100800,686,,2205,2523
18,11235,Kings County,198,67,89,163,106,183,102,64,251,120,48452,35862.9,36047,"New York city, NY",New York,712100,,810600,593,,2196,2323
19,60647,Cook County,237,93,57,347,187,327,124,251,469,208,58931,23262.6,17031,"Chicago city, IL",Illinois,393800,1.56097561,475500,338,,1821,2013
20,90250,Los Angeles County,196,110,84,197,293,228,134,129,357,165,48346,14666.7,6037,"Los Angeles city, CA",California,654000,,656000,498,,2769,2895
21,37211,Davidson County,379,189,214,175,182,322,201,303,246,238,42502,3763.4,47037,Nashville-Davidson metropolitan government (balanc,Tennessee,263000,1.070735498,276400,163,,1550,1632
22,10029,New York County,123,56,120,146,78,138,94,54,192,98,40346,100243.3,36061,"New York city, NY",New York,777100,5.605381166,,959,,2905,3163
23,10009,New York County,61,28,70,171,106,172,83,111,288,106,65951,100179.2,36061,"New York city, NY",New York,1123500,,,1401,,3873,4265
24,60618,Cook County,271,135,138,295,306,379,211,332,626,271,59676,18857.4,17031,"Chicago city, IL",Illinois,393000,1.354166667,463800,356,,1850,2078
25,10011,New York County,218,90,86,138,109,223,111,90,363,140,116743,78677.6,36061,"New York city, NY",New York,1638800,,10039600,1690,,4358,4798
26,77573,Galveston County,50,88,74,31,39,57,69,101,33,65,93212,2876.7,48167,"Houston city, TX",Texas,268700,0.942462024,270400,114,,1960,1986
27,77584,Brazoria County,46,59,17,38,20,56,33,107,18,45,94768,2691.5,48039,"Houston city, TX",Texas,267400,0.87185991,267400,109,,1881,1881
28,10128,New York County,154,56,77,198,67,155,76,44,189,96,108039,134202.1,36061,"New York city, NY",New York,1202600,,6422400,1226,,3349,3549
29,20002,District of Columbia,366,139,134,557,463,357,186,169,611,195,80087,13576,11001,"Washington city, DC",District of Columbia,679700,2.37987013,722400,550,,2651,2593
30,78130,Guadalupe County,88,91,91,25,29,55,73,59,41,66,58346,782,48187,"San Antonio city, TX",Texas,228400,0.969708993,229800,137,,1482,1493
31,28269,Mecklenburg County,148,141,89,62,86,101,107,81,117,112,59738,2518.9,37119,"Charlotte city, NC",North Carolina,209900,0.819902326,211800,111,,1398,1440
32,78613,Williamson County,32,75,57,17,16,26,50,42,10,40,82468,2785,48491,"Austin city, TX",Texas,302600,0.923050949,306500,140,,1727,1746
33,78572,Hidalgo County,69,170,40,108,31,72,81,56,49,80,40434,1067.3,48215,"San Antonio city, TX",Texas,107600,0.744680851,108300,76,,1079,1102
34,94565,Contra Costa County,56,95,57,111,80,88,67,73,104,72,57586,3094.8,6013,"San Francisco city, CA",California,426200,1.541307028,427900,287,,2308,2319
35,79912,El Paso County,100,73,176,90,85,82,117,69,69,104,63984,3338.4,48141,"El Paso city, TX",Texas,188200,0.742334588,190700,99,,1263,1309
36,30349,Fulton County,76,86,95,75,103,72,95,92,48,89,41768,1567.3,13121,Nashville-Davidson metropolitan government (balanc,Georgia,131300,0.753199957,132600,77,,1190,1209
37,90046,Los Angeles County,275,123,117,166,346,251,161,105,407,189,64903,8983.9,6037,"Los Angeles city, CA",California,1506000,4.136379604,1892300,889,,3943,6118
38,20009,District of Columbia,173,48,77,430,155,203,74,127,203,99,98928,41165.7,11001,"Washington city, DC",District of Columbia,557400,2.93594306,1065100,656,,2579,2592
39,75052,Dallas County,63,81,122,82,104,82,108,95,87,99,68117,3587.7,48113,"Fort Worth city, TX",Texas,219900,0.898648649,219900,114,,1615,1645
40,37042,Montgomery County,99,132,111,107,27,114,85,127,31,92,46926,1228.9,47125,Nashville-Davidson metropolitan government (balanc,Tennessee,139100,0.775259371,139100,98,,955,968
41,77433,Harris County,47,44,24,57,57,122,44,210,174,88,95787,1521.9,48201,"Houston city, TX",Texas,256200,0.826605152,256200,103,,1784,1785
42,73099,Canadian County,109,155,134,98,107,112,135,142,97,127,65473,592.6,40017,"Oklahoma City city, OK",Oklahoma,166600,0.836229339,166600,98,,1258,1259
43,10462,Bronx County,151,68,84,86,79,170,88,54,320,108,46648,57968.2,36005,"New York city, NY",New York,156800,,488200,236,,1771,1939
44,11206,Kings County,92,46,54,139,60,162,62,73,285,93,34815,61489.3,36047,"New York city, NY",New York,736500,,,,,2572,2550
45,77429,Harris County,111,90,53,73,144,123,102,158,149,118,95896,2361.2,48201,"Houston city, TX",Texas,248800,0.78958306,249500,101,,1784,1790
46,10003,New York County,108,75,82,130,136,170,118,93,287,122,108390,100517.1,36061,"New York city, NY",New York,1612200,,,1676,,4190,4500
47,77479,Fort Bend County,9,64,18,29,13,26,33,47,13,31,129082,2771.2,48157,"Houston city, TX",Texas,369700,0.881502829,369700,123,,2314,2354
48,30044,Gwinnett County,29,80,66,27,86,36,77,56,35,61,51249,3548.3,13135,"Charlotte city, NC",Georgia,198100,0.791081809,198500,102,,1422,1436
49,63376,St. Charles County,45,55,105,9,45,29,71,36,20,50,74715,1869.7,29183,"Memphis city, TN",Missouri,203800,1.038873995,203800,142,,1488,1525
